player,seasons_played,avg_minutes
Damian Lillard,4,2594.8
Klay Thompson,2,2578.3
Bradley Beal,4,2551.1
Tobias Harris,4,2499.8
Russell Westbrook,4,2490.3
DeMar DeRozan,4,2443.2
Nikola Jokic,4,2442.3
Harrison Barnes,4,2437.8
Andrew Wiggins,4,2436.1
James Harden,4,2377.2
