PLAYER_NAME,PLUS_MINUS
Rudy Gobert,728
Mike Conley,548
Royce O'Neale,471
Joe Ingles,454
Kawhi Leonard,446
Paul George,432
Bojan Bogdanovic,419
Giannis Antetokounmpo,409
Joel Embiid,405
Nikola Jokic,384
