player,season,total_rebounds
Andre Drummond,22017,1247
Andre Drummond,22018,1232
DeAndre Jordan,22017,1171
Rudy Gobert,22018,1041
Dwight Howard,22017,1012
Karl-Anthony Towns,22017,1012
