PLAYER_NAME,PLUS_MINUS
Theo Maledon,-621
Darius Bazley,-477
Dwayne Bacon,-443
Isaiah Roby,-437
Isaac Okoro,-408
Aleksej Pokusevski,-393
Collin Sexton,-377
Moses Brown,-363
Nikola Vucevic,-341
Cedi Osman,-323
